"captured_at","sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","gpu_timestamp","gpu_name","driver_version","temperature_c","power_w","sm_clock_mhz","memory_clock_mhz","gpu_utilization_pct","memory_utilization_pct"
"2026-08-14T18:28:21.0910477-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:21.080","NVIDIA GeForce GTX 1650","573.22","59","12.20","1020","3500","8","1"
"2026-08-14T18:28:21.3982104-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:21.374","NVIDIA GeForce GTX 1650","573.22","59","12.21","1020","3500","0","0"
"2026-08-14T18:28:21.7044252-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:21.674","NVIDIA GeForce GTX 1650","573.22","59","12.20","1020","3500","0","0"
"2026-08-14T18:28:22.0461574-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:22.019","NVIDIA GeForce GTX 1650","573.22","59","12.23","1020","3500","0","0"
"2026-08-14T18:28:22.3609358-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:22.341","NVIDIA GeForce GTX 1650","573.22","59","12.16","1020","3500","0","0"
"2026-08-14T18:28:22.6926117-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:22.675","NVIDIA GeForce GTX 1650","573.22","59","12.20","360","405","0","0"
"2026-08-14T18:28:23.0277980-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:22.992","NVIDIA GeForce GTX 1650","573.22","59","4.16","330","405","0","0"
"2026-08-14T18:28:23.3539334-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:23.329","NVIDIA GeForce GTX 1650","573.22","58","4.20","330","405","0","0"
"2026-08-14T18:28:23.6760685-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:23.659","NVIDIA GeForce GTX 1650","573.22","58","4.20","330","405","0","0"
"2026-08-14T18:28:23.9811379-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:23.965","NVIDIA GeForce GTX 1650","573.22","58","4.16","330","405","0","0"
"2026-08-14T18:28:24.2955439-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:24.277","NVIDIA GeForce GTX 1650","573.22","58","4.17","330","405","0","0"
"2026-08-14T18:28:24.6120166-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:24.592","NVIDIA GeForce GTX 1650","573.22","58","4.16","300","405","0","0"
"2026-08-14T18:28:24.9415654-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:24.911","NVIDIA GeForce GTX 1650","573.22","58","4.18","300","405","0","0"
"2026-08-14T18:28:25.2631465-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:25.243","NVIDIA GeForce GTX 1650","573.22","58","4.15","300","405","0","0"
"2026-08-14T18:28:25.5784322-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:25.561","NVIDIA GeForce GTX 1650","573.22","58","9.40","1020","3500","0","0"
"2026-08-14T18:28:25.9096051-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:25.877","NVIDIA GeForce GTX 1650","573.22","58","12.23","1020","3500","0","0"
"2026-08-14T18:28:26.4215630-04:00","13","0","warmup","4096","100","V6c","1","2026/08/14 18:28:26.393","NVIDIA GeForce GTX 1650","573.22","58","12.16","1020","3500","10","3"
