"repeat","n","launch_position","requested_variant","csv_variant","sample_ms","sample_count","process_wall_ms","gpu_ms","energy_j","avg_power_w","max_power_w","joules_per_effective_gflop","max_temperature_c","avg_graphics_clock_mhz"
"2","4000","5","V5bf","V5bf_t32x32","200","16","4508.3612","3310.39","133.39177","29.58764","35.1","3.12636961","71","1768.125"
"2","4000","6","VLU","VLU","200","13","3572.3724","2376.5","98.286888","27.513058","35.01","2.303598938","71","1671.923"
"2","4000","7","V6a","V6a_b64","200","5","1491.7906","277.551","32.755797","21.957369","29.45","0.767713998","70","1785"
"2","4000","8","V6b","V6b_b64","200","5","1434.8595","234.453","31.565907","21.999301","29.99","0.739825936","70","1785"
"2","4000","9","V6c","V6c_b64","200","5","1394.6284","203.403","22.464947","16.108196","19.68","0.526522197","70","1341"
"2","4000","10","V6d","V6d_b32","200","5","1398.2943","209.512","21.876714","15.645286","21.68","0.512735483","68","1149"
"2","4000","11","V6e","V6e_b64","200","5","1447.5112","258.877","22.162589","15.310824","18.58","0.519435677","68","1401"
"2","4000","12","V5c","V5c_b64","200","5","1473.2643","300.498","33.839213","22.968868","32.8","0.793106543","70","1776"
"2","4000","13","V1","V1","200","57","15485.7312","14410.8","506.029412","32.67714","35.08","11.860064346","74","1783.947"
"2","4000","14","V2","V2","200","57","15934.4615","14581.1","516.281659","32.40032","35.37","12.100351374","74","1783.421"
"2","8000","0","V3","V3","200","70","20958.6793","16641","632.527346","30.179733","35.08","1.85310746","73","1495.929"
"2","8000","1","V3f","V3f","200","69","20693.5025","15792","601.884309","29.085666","35.03","1.763332935","72","1418.043"
"2","8000","2","V4","V4","200","19","5980.409","324.798","67.129433","11.22489","31.37","0.19666826","69","736.579"
"2","8000","3","V5a","V5a_t32x32","200","80","23336.298","18744.1","705.619623","30.236999","35.45","2.067244989","72","1548.938"
"2","8000","4","V5af","V5af_t32x32","200","78","21478.5452","18186.1","660.337205","30.744038","35.1","1.934581657","74","1548.654"
"2","8000","5","V5bf","V5bf_t32x32","200","108","30282.4811","26709.6","967.36491","31.944704","36.23","2.834076883","74","1668.194"
"2","8000","6","VLU","VLU","200","70","20807.7804","16572.7","615.114314","29.561746","35.02","1.802092716","72","1407.857"
"2","8000","7","V6a","V6a_b64","200","21","6831.5678","1006.04","87.084138","12.747314","31.44","0.25512931","70","845"
"2","8000","8","V6b","V6b_b64","200","20","6172.5873","829.238","86.729364","14.050731","32.04","0.254089933","67","861.75"
"2","8000","9","V6c","V6c_b64","200","19","5629.793","645.391","79.398738","14.103314","31.79","0.232613491","67","858.947"
"2","8000","10","V6d","V6d_b64","200","18","5284.4676","619.405","83.832868","15.864014","32.42","0.245604106","67","1055"
"2","8000","11","V6e","V6e_b64","200","20","5839.1269","1374.3","96.229198","16.480066","29.79","0.28192148","67","1071.75"
"2","8000","12","V5c","V5c_b64","200","21","5875.4892","1738.51","111.349019","18.951447","34.81","0.32621783","68","1137.143"
"2","8000","13","V1","V1","200","686","197602.9762","194797","6644.722853","33.626633","35.08","19.466961483","76","1780.19"
"2","8000","14","V2","V2","200","656","200221.8922","194922","6646.726766","33.196803","35.07","19.472832323","73","1769.337"
"2","16000","0","V3","V3","200","485","142861.9077","125488","4490.873553","31.435066","35.7","1.644607014","74","1447.237"
"2","16000","1","V3f","V3f","200","488","140201.5146","123979","4392.217567","31.32789","35.06","1.608478113","74","1420.789"
"2","16000","2","V4","V4","200","71","21024.2319","2056.94","211.554595","10.062417","34.52","0.077473606","67","531.972"
"2","16000","3","V5a","V5a_t32x32","200","588","172920.2217","160893","5697.334444","32.947763","36.01","2.086426188","76","1610.306"
"2","16000","4","V5af","V5af_t32x32","200","602","175376.0163","159233","5634.150574","32.126118","35.51","2.063287564","74","1572.757"
"2","16000","5","V5bf","V5bf_t32x32","200","794","230826.15","215434","7565.636039","32.776339","36.14","2.770618667","74","1668.136"
"2","16000","6","VLU","VLU","200","496","142804.3939","127118","4465.497274","31.270027","35.11","1.635313943","74","1430.534"
"2","16000","7","V6a","V6a_b64","200","71","20347.8077","3161.71","233.883363","11.494278","34.34","0.085650646","69","593.873"
"2","16000","8","V6b","V6b_b64","200","59","15994.2376","3109.11","218.696776","13.673473","34.39","0.080089151","70","673.22"
"2","16000","9","V6c","V6c_b64","200","62","17005.795","2946.86","220.794328","12.983476","34.97","0.080857298","69","656.371"
"2","16000","10","V6d","V6d_b64","200","62","17112.9295","2983.18","244.226431","14.271457","34.26","0.08943839","69","788.468"
"2","16000","11","V6e","V6e_b64","200","79","21619.783","7350.38","341.400859","15.791133","33.57","0.125024729","70","951.456"
"2","16000","12","V5c","V5c_b64","200","97","26321.251","12344.2","541.528143","20.5738","34.96","0.198313529","71","974.227"
"2","16000","13","V1","V1","200","8711","2582663.5716","2570990","85444.955943","33.084044","34.77","31.29087742","75","1779.388"
"2","16000","14","V2","V2","200","8602","2586859.7272","2569450","85355.504842","32.995799","34.72","31.258119449","73","1777.27"
"3","2000","0","V3f","V3f","200","4","1289.227","346.138","20.599159","15.977915","25.79","3.86234228","66","907.5"
"3","2000","1","V4","V4","200","3","955.8262","39.6184","18.431032","19.282828","20.94","3.455818481","66","1800"
"3","2000","2","V5a","V5a_t32x32","200","5","1617.7406","605.729","33.113849","20.469196","28.7","6.208846735","67","1644"
"3","2000","3","V5af","V5af_t32x32","200","4","1263.5468","373.343","28.215254","22.330201","35.39","5.290360056","67","1773.75"
"3","2000","4","V5bf","V5bf_t32x32","200","4","1216.502","477.741","31.973402","26.283066","35.67","5.99501293","67","1796.25"
"3","2000","5","VLU","VLU","200","3","1008.4644","391.758","26.280702","26.060119","33.67","4.927631649","67","1780"
"3","2000","6","V6a","V6a_b64","200","3","956.0079","195.168","17.20247","17.994066","18.8","3.225463038","67","1800"
"3","2000","7","V6b","V6b_b64","200","3","912.6163","141.723","17.3445","19.005249","20.36","3.25209383","65","1800"
"3","2000","8","V6c","V6c_b64","200","3","1403.6993","236.832","18.209872","12.972773","13.58","3.414351037","65","1020"
"3","2000","9","V6d","V6d_b32","200","3","938.5573","112.171","12.092426","12.884057","14.32","2.267329872","64","1020"
